Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude
Package[351],3:3:0:35,30.75,-0.04,9.96,-1.69,12.972413,101.456830
Package[353],3:3:0:36,30.75,-0.31,10.04,-1.57,12.972413,101.456830
Package[355],3:3:0:37,30.75,0.00,10.00,-1.53,12.972413,101.456830
Package[357],3:3:0:39,30.81,-0.04,10.00,-1.61,12.972410,101.456830
Package[359],3:3:0:40,30.75,0.00,9.92,-1.57,12.972412,101.456830
Package[361],3:3:0:42,30.75,-0.12,9.96,-1.61,12.972412,101.456830
Package[363],3:3:0:43,30.81,0.12,10.12,-1.37,12.972412,101.456830
Package[365],3:3:0:44,30.81,0.00,9.92,-1.69,12.972412,101.456830
Package[367],3:3:0:46,30.75,-0.04,9.92,-1.53,12.972412,101.456830
Package[369],3:3:0:47,30.75,-0.04,10.00,-1.61,12.972412,101.456830
Package[371],3:3:0:48,30.75,-0.12,10.00,-1.61,12.972412,101.456830
Package[373],3:3:0:50,30.81,0.00,9.81,-1.61,12.972412,101.456830
Package[375],3:3:0:51,30.81,-0.04,9.92,-1.53,12.972412,101.456830
Package[377],3:3:0:52,30.88,-0.04,9.92,-1.61,12.972412,101.456830
Package[379],3:3:0:54,31.00,-0.12,9.89,-1.45,12.972412,101.456830
Package[381],3:3:0:55,31.06,-0.08,10.00,-1.65,12.972412,101.456830
Package[383],3:3:0:56,31.13,-0.04,9.96,-1.57,12.972412,101.456830
Package[385],3:3:0:58,31.13,-0.04,9.96,-1.53,12.972412,101.456830
Package[387],3:3:0:59,31.19,-0.04,9.89,-1.61,12.972431,101.456790
Package[389],3:3:1:0,31.25,-0.12,10.00,-1.53,12.972431,101.456790
Package[391],3:3:1:2,31.25,-0.08,10.04,-1.53,12.972433,101.456790
Package[393],3:3:1:3,31.25,-0.12,10.00,-1.57,12.972441,101.456800
Package[395],3:3:1:5,31.31,-0.04,9.96,-1.53,12.972441,101.456800
Package[397],3:3:1:6,31.31,-0.08,10.00,-1.61,12.972441,101.456800
Package[399],3:3:1:7,31.25,-0.04,9.96,-1.57,12.972441,101.456800
Package[401],3:3:1:9,31.31,-0.08,10.00,-1.57,12.972441,101.456800
Package[403],3:3:1:10,31.31,-0.08,9.96,-1.61,12.972441,101.456800
Package[405],3:3:1:11,31.31,-0.20,9.96,-1.84,12.972441,101.456800
Package[407],3:3:1:13,31.31,-0.04,9.92,-1.41,12.972441,101.456800
Package[409],3:3:1:14,31.31,0.00,9.81,-1.49,12.972441,101.456800
Package[411],3:3:1:15,31.25,-0.12,10.12,-1.73,12.972441,101.456800
Package[413],3:3:1:17,31.31,-0.08,10.00,-1.53,12.972441,101.456800
Package[415],3:3:1:18,31.31,-0.04,9.92,-1.57,12.972460,101.456790
Package[417],3:3:1:19,31.31,-0.12,9.96,-1.57,12.972460,101.456790
Package[419],3:3:1:21,31.38,-0.08,9.92,-1.61,12.972472,101.456790
Package[421],3:3:1:22,31.31,-0.08,9.77,-1.57,12.972472,101.456790
Package[423],3:3:1:24,31.38,-0.08,9.92,-1.77,12.972472,101.456790
Package[425],3:3:1:25,31.31,-0.08,9.96,-1.45,12.972472,101.456790
Package[427],3:3:1:26,31.31,-0.86,9.06,-2.12,12.972472,101.456790
Package[429],3:3:1:28,31.31,-0.04,10.00,-1.61,12.972472,101.456790
Package[431],3:3:1:29,31.31,0.00,9.92,-1.49,12.972472,101.456790
Package[433],3:3:1:30,31.31,-0.24,10.32,-1.22,12.972472,101.456790
Package[435],3:3:1:32,31.31,-0.12,9.96,-1.57,12.972472,101.456790
Package[437],3:3:1:33,31.31,-0.04,10.08,-1.37,12.972472,101.456790
Package[439],3:3:1:34,31.31,-0.43,9.45,-1.80,12.972472,101.456790
Package[441],3:3:1:36,31.31,0.04,10.12,-1.65,12.972472,101.456790
Package[443],3:3:1:37,31.25,-0.08,10.00,-1.57,12.972457,101.456750
Package[445],3:3:1:38,31.25,-0.12,9.81,-1.73,12.972457,101.456750
Package[447],3:3:1:40,31.19,-0.08,9.89,-1.57,12.972447,101.456730
