Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude
10Package[6769],3:4:26:6,-35.5,2.47,9.96,-1.29,12.989401,101.33422
1Package[6729],3:4:25:37,-34.5,2.28,9.73,-0.86,12.987647,101.33673
1Package[7579],3:4:35:39,-45.38,2.55,9.3,-0.2,13.0148,101.27979
1Package[7607],3:4:35:59,-45.44,2.39,9.26,-0.24,13.01608,101.27697
1Package[8069],3:4:41:27,-43.5,2.55,8.63,-1.1,13.028913,101.24447
Package[2143],3:3:33:2,39.38,1.69,8.16,4.28,12.972365,101.45667
Package[2143],3:3:33:2,39.38,1.69,8.16,4.28,12.972365,101.45667
Package[2145],3:3:33:4,39.44,2.63,7.65,4.39,12.972367,101.45667
Package[2145],3:3:33:4,39.44,2.63,7.65,4.39,12.972367,101.45667
Package[2147],3:3:33:5,39.38,2.86,7.57,5.02,12.972368,101.45668
Package[2147],3:3:33:5,39.38,2.86,7.57,5.02,12.972368,101.45668
Package[2149],3:3:33:7,39.38,3.45,10.04,-0.31,12.972368,101.45668
Package[2149],3:3:33:7,39.38,3.45,10.04,-0.31,12.972368,101.45668
Package[2151],3:3:33:8,39.31,3.77,8.43,-2.9,12.972368,101.45668
Package[2151],3:3:33:8,39.31,3.77,8.43,-2.9,12.972368,101.45668
Package[2153],3:3:33:9,39.25,4.12,8.43,-3.96,12.972368,101.45668
Package[2153],3:3:33:9,39.25,4.12,8.43,-3.96,12.972368,101.45668
Package[2155],3:3:33:11,39.25,0.43,9.06,3.22,12.972368,101.45668
Package[2155],3:3:33:11,39.25,0.43,9.06,3.22,12.972368,101.45668
Package[2157],3:3:33:12,39.25,1.77,9.02,0.43,12.972368,101.45668
Package[2157],3:3:33:12,39.25,1.77,9.02,0.43,12.972368,101.45668
Package[2159],3:3:33:13,39.25,1.53,12.28,1.1,12.972368,101.45668
Package[2159],3:3:33:13,39.25,1.53,12.28,1.1,12.972368,101.45668
Package[2161],3:3:33:15,39.19,1.37,10.32,-0.51,12.972372,101.45669
Package[2161],3:3:33:15,39.19,1.37,10.32,-0.51,12.972372,101.45669
Package[2163],3:3:33:16,39.13,0.71,8.47,3.18,12.972372,101.45669
Package[2163],3:3:33:16,39.13,0.71,8.47,3.18,12.972372,101.45669
Package[2165],3:3:33:17,39.13,1.96,8.04,4.43,12.972372,101.45669
Package[2165],3:3:33:17,39.13,1.96,8.04,4.43,12.972372,101.45669
