Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude
Package[2989],3:3:42:38,22.63,2.35,9.57,-1.96,12.979699,101.455250
Package[2991],3:3:42:40,22.50,2.51,9.61,-1.61,12.979834,101.454810
Package[2993],3:3:42:41,22.44,2.55,9.65,-1.88,12.979845,101.454770
Package[2995],3:3:42:42,22.38,2.47,9.61,-1.57,12.979845,101.454770
Package[2997],3:3:42:44,22.31,2.59,9.89,-1.80,12.979849,101.454730
Package[2999],3:3:42:45,22.25,2.47,9.53,-1.80,12.979849,101.454730
Package[3001],3:3:42:47,22.19,2.55,9.57,-2.04,12.979849,101.454730
Package[3003],3:3:42:48,22.06,2.55,9.53,-1.57,12.979849,101.454730
Package[3005],3:3:42:49,22.06,2.63,9.49,-1.88,12.979849,101.454730
Package[3007],3:3:42:51,22.00,2.39,9.49,-1.84,12.979837,101.454560
Package[3009],3:3:42:52,21.94,2.63,9.73,-1.77,12.979839,101.454510
Package[3011],3:3:42:53,21.94,2.35,9.49,-1.96,12.979839,101.454510
Package[3013],3:3:42:55,21.88,2.75,9.65,-1.92,12.979847,101.454440
Package[3015],3:3:42:56,21.88,2.39,9.53,-1.77,12.979860,101.454380
Package[3017],3:3:42:58,21.94,2.71,9.69,-1.84,12.979860,101.454380
Package[3019],3:3:42:59,21.94,2.51,9.61,-1.80,12.979860,101.454380
Package[3021],3:3:43:0,21.94,2.63,9.73,-1.73,12.979860,101.454380
Package[3023],3:3:43:2,21.94,2.43,9.65,-1.96,12.979860,101.454380
Package[3025],3:3:43:3,21.94,2.59,9.57,-1.80,12.979860,101.454380
Package[3027],3:3:43:4,21.94,2.43,9.77,-1.80,12.979860,101.454380
Package[3029],3:3:43:6,21.88,2.59,9.65,-1.53,12.979860,101.454380
Package[3031],3:3:43:7,21.88,2.47,9.49,-1.92,12.979860,101.454380
Package[3033],3:3:43:8,21.81,2.51,9.57,-1.88,12.979860,101.454380
Package[3035],3:3:43:10,21.75,2.79,9.45,-1.96,12.979860,101.454380
Package[3037],3:3:43:11,21.69,2.31,9.89,-1.73,12.979860,101.454380
Package[3039],3:3:43:12,21.69,2.47,9.49,-2.04,12.979860,101.454380
Package[3041],3:3:43:14,21.56,2.47,9.89,-1.65,12.979860,101.454380
Package[3043],3:3:43:15,21.50,2.39,9.77,-1.84,12.979860,101.454380
Package[3045],3:3:43:16,21.38,2.59,9.49,-1.80,12.979860,101.454380
Package[3047],3:3:43:18,21.38,2.39,9.89,-1.88,12.980103,101.453870
Package[3049],3:3:43:19,21.31,2.51,9.30,-2.28,12.980110,101.453830
Package[3051],3:3:43:21,21.25,2.43,9.81,-1.61,12.980110,101.453830
Package[3053],3:3:43:22,21.25,2.59,9.61,-1.84,12.980110,101.453830
Package[3055],3:3:43:23,21.19,2.55,9.61,-1.69,12.980110,101.453830
Package[3057],3:3:43:25,21.19,2.71,9.34,-1.92,12.980110,101.453830
Package[3059],3:3:43:26,21.19,2.47,9.89,-1.80,12.980110,101.453830
Package[3061],3:3:43:27,21.19,2.75,9.53,-1.88,12.980110,101.453830
Package[3063],3:3:43:29,21.19,2.20,9.77,-2.00,12.980110,101.453830
Package[3065],3:3:43:30,21.19,2.75,9.41,-2.00,12.980110,101.453830
Package[3067],3:3:43:31,21.19,2.47,9.45,-2.00,12.980110,101.453830
Package[3069],3:3:43:33,21.19,2.51,9.73,-1.49,12.980110,101.453830
Package[3071],3:3:43:34,21.13,2.55,9.57,-1.65,12.980110,101.453830
Package[3073],3:3:43:35,21.06,2.59,9.77,-1.77,12.980110,101.453830
Package[3075],3:3:43:37,21.06,2.43,9.69,-1.49,12.980110,101.453830
Package[3077],3:3:43:38,20.94,2.71,9.34,-1.73,12.980296,101.453410
Package[3079],3:3:43:39,20.88,2.55,9.81,-1.84,12.980296,101.453410
Package[3081],3:3:43:41,20.81,2.63,9.49,-2.08,12.980297,101.453380
Package[3083],3:3:43:42,20.75,2.47,9.57,-1.84,12.980297,101.453380
Package[3085],3:3:43:43,20.69,2.67,9.69,-2.00,12.980297,101.453380
Package[3087],3:3:43:45,20.63,2.59,9.65,-1.80,12.980296,101.453290
Package[3089],3:3:43:46,20.56,2.55,9.69,-1.69,12.980288,101.453250
Package[3091],3:3:43:48,20.50,2.43,9.65,-1.77,12.980288,101.453250
Package[3093],3:3:43:49,20.50,2.59,9.69,-1.61,12.980288,101.453250
Package[3095],3:3:43:50,20.50,2.43,9.34,-2.00,12.980288,101.453250
Package[3097],3:3:43:52,20.50,2.59,9.77,-1.92,12.980288,101.453250
Package[3099],3:3:43:53,20.50,2.67,9.92,-1.53,12.980288,101.453250
Package[3101],3:3:43:54,20.50,2.59,9.57,-2.04,12.980288,101.453250
Package[3103],3:3:43:56,20.44,2.24,9.41,-2.16,12.980288,101.453250
Package[3105],3:3:43:57,20.50,2.82,9.57,-1.96,12.980288,101.453250
Package[3107],3:3:43:58,20.50,2.35,9.30,-2.04,12.980288,101.453250
Package[3109],3:3:44:0,20.50,2.51,9.73,-1.53,12.980293,101.452970
Package[3111],3:3:44:1,20.44,2.43,9.41,-1.84,12.980293,101.452970
Package[3113],3:3:44:2,20.44,2.63,9.26,-1.88,12.980293,101.452970
Package[3115],3:3:44:4,20.38,2.51,9.65,-1.65,12.980287,101.452890
Package[3117],3:3:44:5,20.31,2.55,9.34,-1.69,12.980277,101.452860
Package[3119],3:3:44:7,20.19,2.43,9.65,-2.04,12.980265,101.452820
Package[3121],3:3:44:8,20.19,2.55,9.57,-2.00,12.980265,101.452820
Package[3123],3:3:44:9,20.13,2.35,9.69,-1.92,12.980265,101.452820
Package[3125],3:3:44:11,20.00,2.59,9.73,-1.88,12.980265,101.452820
Package[3127],3:3:44:12,20.00,2.31,9.65,-1.84,12.980265,101.452820
Package[3129],3:3:44:13,19.88,2.75,9.65,-1.57,12.980265,101.452820
Package[3131],3:3:44:15,19.81,2.39,9.41,-1.92,12.980265,101.452820
Package[3133],3:3:44:16,19.81,2.59,9.65,-1.80,12.980265,101.452820
Package[3135],3:3:44:17,19.75,2.51,9.61,-1.69,12.980265,101.452820
Package[3137],3:3:44:19,19.75,2.59,9.65,-1.45,12.980173,101.452610
Package[3139],3:3:44:20,19.75,2.55,9.77,-1.80,12.980173,101.452560
Package[3141],3:3:44:21,19.75,2.63,9.45,-1.80,12.980173,101.452560
Package[3143],3:3:44:23,19.81,2.55,9.53,-1.45,12.980179,101.452500
Package[3145],3:3:44:24,19.75,2.59,9.81,-2.16,12.980189,101.452450
Package[3147],3:3:44:26,19.81,2.39,9.65,-1.84,12.980189,101.452450
Package[3149],3:3:44:27,19.81,2.71,9.57,-1.77,12.980189,101.452450
Package[3151],3:3:44:28,19.81,2.39,9.85,-1.61,12.980189,101.452450
Package[3153],3:3:44:30,19.75,2.59,9.26,-1.77,12.980189,101.452450
Package[3155],3:3:44:31,19.75,2.59,9.65,-1.65,12.980189,101.452450
Package[3157],3:3:44:32,19.69,2.51,9.69,-1.96,12.980189,101.452450
Package[3159],3:3:44:34,19.63,2.55,9.65,-1.92,12.980189,101.452450
Package[3161],3:3:44:35,19.56,2.51,9.65,-1.80,12.980237,101.452180
Package[3163],3:3:44:36,19.56,2.51,9.85,-1.57,12.980237,101.452180
Package[3165],3:3:44:38,19.44,2.75,9.38,-1.77,12.980239,101.452130
Package[3167],3:3:44:39,19.44,2.39,9.65,-1.73,12.980234,101.452100
Package[3169],3:3:44:41,19.38,2.75,9.41,-1.80,12.980234,101.452100
Package[3171],3:3:44:42,19.31,2.43,9.85,-1.96,12.980222,101.452050
Package[3173],3:3:44:43,19.25,2.51,9.49,-2.16,12.980222,101.452050
Package[3175],3:3:44:45,19.25,2.71,9.73,-1.73,12.980222,101.452050
Package[3177],3:3:44:46,19.31,2.55,9.77,-1.88,12.980222,101.452050
Package[3179],3:3:44:47,19.31,2.43,9.65,-1.84,12.980222,101.452050
Package[3181],3:3:44:49,19.31,2.47,9.38,-1.69,12.980222,101.452050
Package[3183],3:3:44:50,19.31,2.55,9.41,-1.53,12.980222,101.452050
Package[3185],3:3:44:51,19.31,2.43,9.81,-1.80,12.980222,101.452050
Package[3187],3:3:44:53,19.38,2.86,9.45,-1.45,12.980222,101.452050
Package[3189],3:3:44:54,19.31,2.51,9.69,-1.61,12.980222,101.452050
Package[3191],3:3:44:55,19.25,2.71,9.45,-1.88,12.980222,101.452050
Package[3193],3:3:44:57,19.19,2.51,9.65,-1.69,12.980222,101.452050
Package[3195],3:3:44:58,19.19,2.71,9.45,-2.16,12.980222,101.452050
Package[3197],3:3:44:59,19.13,2.28,9.49,-1.57,12.980222,101.452050
Package[3199],3:3:45:1,19.06,2.51,9.61,-1.80,12.980186,101.451480
Package[3201],3:3:45:2,19.06,2.51,9.57,-2.16,12.980178,101.451440
Package[3203],3:3:45:3,18.94,2.63,9.49,-1.69,12.980178,101.451440
Package[3205],3:3:45:5,18.88,2.63,9.92,-1.73,12.980162,101.451390
Package[3207],3:3:45:6,18.81,2.51,9.61,-1.65,12.980141,101.451340
Package[3209],3:3:45:8,18.75,2.43,9.73,-2.16,12.980141,101.451340
Package[3211],3:3:45:9,18.75,2.67,9.85,-1.53,12.980141,101.451340
Package[3213],3:3:45:10,18.63,2.51,9.65,-1.96,12.980141,101.451340
Package[3215],3:3:45:12,18.56,2.43,9.65,-2.04,12.980141,101.451340
Package[3217],3:3:45:13,18.44,2.67,10.04,-1.73,12.980141,101.451340
Package[3219],3:3:45:14,18.50,2.63,9.34,-1.57,12.980141,101.451340
Package[3221],3:3:45:16,18.50,2.71,9.92,-1.61,12.980141,101.451340
Package[3223],3:3:45:17,18.44,2.63,9.69,-1.88,12.980141,101.451340
Package[3225],3:3:45:18,18.50,2.35,9.49,-1.84,12.980141,101.451340
Package[3227],3:3:45:20,18.50,2.51,9.85,-1.92,12.980141,101.451340
Package[3229],3:3:45:21,18.50,2.59,9.49,-1.92,12.980141,101.451340
Package[3231],3:3:45:22,18.50,2.47,9.61,-1.84,12.980141,101.451340
Package[3233],3:3:45:24,18.50,2.51,9.77,-2.08,12.980141,101.451340
Package[3235],3:3:45:25,18.44,2.51,9.77,-1.61,12.980141,101.451340
Package[3237],3:3:45:27,18.38,2.51,9.61,-1.92,12.980023,101.450760
Package[3239],3:3:45:28,18.38,2.39,9.53,-1.84,12.980023,101.450760
Package[3241],3:3:45:29,18.25,2.59,9.65,-1.84,12.980023,101.450760
Package[3243],3:3:45:31,18.25,2.55,9.61,-1.80,12.980023,101.450760
Package[3245],3:3:45:32,18.19,2.63,9.53,-1.96,12.980023,101.450760
Package[3247],3:3:45:33,18.13,2.47,9.53,-1.69,12.980023,101.450760
Package[3249],3:3:45:35,18.00,2.59,9.57,-1.33,12.980023,101.450760
Package[3251],3:3:45:36,18.00,2.71,9.49,-1.77,12.980023,101.450760
Package[3253],3:3:45:37,17.94,2.51,9.85,-1.65,12.980023,101.450760
Package[3255],3:3:45:39,17.88,2.47,9.57,-1.69,12.980023,101.450760
Package[3257],3:3:45:40,17.88,2.55,9.69,-1.96,12.979841,101.450390
Package[3259],3:3:45:42,17.88,2.51,9.73,-1.57,12.979813,101.450320
Package[3261],3:3:45:43,17.88,2.55,9.49,-1.84,12.979813,101.450320
Package[3263],3:3:45:44,17.94,2.39,9.69,-1.80,12.979813,101.450320
Package[3265],3:3:45:46,17.94,2.63,9.30,-1.61,12.979813,101.450320
Package[3267],3:3:45:47,17.94,2.47,9.73,-1.96,12.979813,101.450320
Package[3269],3:3:45:48,17.94,2.51,9.49,-1.92,12.979813,101.450320
Package[3271],3:3:45:50,17.88,2.51,9.41,-2.04,12.979813,101.450320
Package[3273],3:3:45:51,17.88,2.59,9.57,-1.92,12.979813,101.450320
Package[3275],3:3:45:52,17.75,2.47,9.45,-1.69,12.979813,101.450320
Package[3277],3:3:45:54,17.69,2.59,9.53,-1.73,12.979742,101.450000
Package[3279],3:3:45:55,17.63,2.59,9.41,-1.80,12.979742,101.450000
Package[3281],3:3:45:56,17.56,2.43,9.49,-1.96,12.979742,101.450000
Package[3283],3:3:45:58,17.44,2.35,9.61,-1.96,12.979700,101.449860
Package[3285],3:3:45:59,17.44,2.63,9.61,-1.69,12.979667,101.449800
Package[3287],3:3:46:1,17.31,2.51,9.45,-1.77,12.979667,101.449800
Package[3289],3:3:46:2,17.25,2.51,9.96,-1.88,12.979667,101.449800
Package[3291],3:3:46:3,17.19,2.55,9.69,-1.80,12.979667,101.449800
Package[3293],3:3:46:5,17.19,2.63,9.57,-1.88,12.979667,101.449800
Package[3295],3:3:46:6,17.25,2.47,9.85,-1.61,12.979667,101.449800
Package[3297],3:3:46:7,17.19,2.51,9.53,-1.69,12.979667,101.449800
Package[3299],3:3:46:9,17.19,2.51,9.69,-1.84,12.979667,101.449800
Package[3301],3:3:46:10,17.19,2.71,9.73,-1.80,12.979536,101.449370
Package[3303],3:3:46:12,17.19,2.39,9.77,-1.57,12.979536,101.449370
Package[3305],3:3:46:13,17.19,2.63,9.69,-1.92,12.979516,101.449290
Package[3307],3:3:46:14,17.19,2.51,9.57,-1.96,12.979516,101.449290
Package[3309],3:3:46:16,17.13,2.47,9.73,-2.00,12.979516,101.449290
Package[3311],3:3:46:17,17.06,2.51,9.53,-1.69,12.979516,101.449290
Package[3313],3:3:46:18,17.00,2.55,9.45,-1.88,12.979516,101.449290
Package[3315],3:3:46:20,17.00,2.39,9.41,-1.84,12.979516,101.449290
Package[3317],3:3:46:21,16.88,2.63,9.53,-1.69,12.979516,101.449290
Package[3319],3:3:46:22,16.81,2.51,9.61,-1.73,12.979516,101.449290
Package[3321],3:3:46:24,16.75,2.55,9.53,-2.16,12.979516,101.449290
Package[3323],3:3:46:25,16.69,2.55,9.69,-1.73,12.979516,101.449290
Package[3325],3:3:46:26,16.63,2.59,9.49,-1.57,12.979516,101.449290
Package[3327],3:3:46:28,16.56,2.43,9.57,-1.88,12.979282,101.448740
Package[3329],3:3:46:29,16.50,2.63,9.65,-2.39,12.979248,101.448660
Package[3331],3:3:46:31,16.44,2.43,9.81,-1.88,12.979248,101.448660
Package[3333],3:3:46:32,16.38,2.51,9.49,-1.80,12.979248,101.448660
Package[3335],3:3:46:33,16.31,2.55,9.65,-1.88,12.979248,101.448660
Package[3337],3:3:46:35,16.31,2.86,9.49,-1.84,12.979248,101.448660
Package[3339],3:3:46:36,16.31,2.79,9.34,-1.73,12.979248,101.448660
Package[3341],3:3:46:37,16.31,2.71,9.38,-1.92,12.979248,101.448660
Package[3343],3:3:46:39,16.31,2.59,9.81,-1.96,12.979248,101.448660
Package[3345],3:3:46:40,16.31,2.75,9.57,-2.00,12.979061,101.448180
Package[3347],3:3:46:42,16.31,2.55,9.45,-1.65,12.979061,101.448180
Package[3349],3:3:46:43,16.31,2.47,9.73,-1.73,12.979025,101.448080
Package[3351],3:3:46:44,16.31,2.51,9.53,-1.80,12.979025,101.448080
Package[3353],3:3:46:46,16.31,2.24,9.53,-1.96,12.979025,101.448080
Package[3355],3:3:46:47,16.25,2.71,9.41,-1.69,12.979025,101.448080
Package[3357],3:3:46:48,16.25,2.75,9.73,-1.61,12.979025,101.448080
Package[3359],3:3:46:50,16.25,2.51,9.26,-1.73,12.979025,101.448080
Package[3361],3:3:46:51,16.13,2.63,9.77,-1.61,12.979025,101.448080
Package[3363],3:3:46:52,16.06,2.43,9.45,-1.88,12.979025,101.448080
Package[3365],3:3:46:54,16.06,2.67,9.65,-1.84,12.979025,101.448080
Package[3367],3:3:46:55,15.94,2.51,9.61,-1.80,12.978879,101.447530
Package[3369],3:3:46:56,15.88,2.47,9.65,-1.80,12.978879,101.447530
Package[3371],3:3:46:58,15.81,2.55,9.49,-1.92,12.978864,101.447440
Package[3373],3:3:46:59,15.81,2.55,9.57,-1.88,12.978848,101.447360
Package[3375],3:3:47:1,15.69,2.75,9.65,-1.45,12.978830,101.447290
Package[3377],3:3:47:2,15.63,2.59,9.77,-1.84,12.978830,101.447290
Package[3379],3:3:47:3,15.56,2.47,9.73,-1.80,12.978830,101.447290
Package[3381],3:3:47:5,15.50,2.55,9.61,-1.92,12.978830,101.447290
Package[3383],3:3:47:6,15.44,2.71,9.61,-1.96,12.978830,101.447290
Package[3385],3:3:47:7,15.38,2.67,9.57,-1.77,12.978830,101.447290
Package[3387],3:3:47:9,15.25,2.31,9.53,-2.04,12.978830,101.447290
Package[3389],3:3:47:10,15.25,2.59,9.30,-1.96,12.978830,101.447290
Package[3391],3:3:47:12,15.13,2.47,9.69,-2.12,12.978765,101.446950
Package[3393],3:3:47:13,15.06,2.55,9.57,-1.84,12.978765,101.446950
Package[3395],3:3:47:14,14.94,2.16,9.45,-2.39,12.978765,101.446950
Package[3397],3:3:47:16,14.88,2.39,9.61,-2.08,12.978765,101.446950
Package[3399],3:3:47:17,14.88,3.02,9.53,-2.04,12.978750,101.446670
Package[3401],3:3:47:19,14.88,2.31,9.73,-1.96,12.978750,101.446670
Package[3403],3:3:47:20,14.88,2.94,9.53,-1.92,12.978745,101.446600
Package[3405],3:3:47:21,14.94,2.63,9.73,-1.84,12.978745,101.446600
Package[3407],3:3:47:23,14.94,2.51,9.57,-1.84,12.978745,101.446600
Package[3409],3:3:47:24,14.94,2.43,9.41,-1.69,12.978745,101.446600
Package[3411],3:3:47:25,14.94,2.16,9.96,-1.65,12.978745,101.446600
Package[3413],3:3:47:27,14.94,2.67,9.61,-2.04,12.978745,101.446600
Package[3415],3:3:47:28,14.94,2.51,9.69,-1.65,12.978745,101.446600
Package[3417],3:3:47:29,14.94,2.63,9.65,-2.00,12.978745,101.446600
Package[3419],3:3:47:31,14.88,2.55,9.69,-2.24,12.978754,101.446210
Package[3421],3:3:47:32,14.88,2.71,9.69,-2.00,12.978756,101.446160
Package[3423],3:3:47:34,14.81,2.67,9.49,-1.77,12.978756,101.446160
Package[3425],3:3:47:35,14.81,2.75,9.81,-1.84,12.978756,101.446160
Package[3427],3:3:47:36,14.75,2.31,9.49,-1.80,12.978756,101.446160
Package[3429],3:3:47:38,14.69,2.59,9.30,-2.00,12.978756,101.446160
Package[3431],3:3:47:39,14.63,2.59,9.49,-1.84,12.978756,101.446160
Package[3433],3:3:47:40,14.63,2.82,9.73,-1.77,12.978756,101.446160
Package[3435],3:3:47:42,14.50,2.79,9.81,-1.57,12.978759,101.445870
Package[3437],3:3:47:43,14.44,2.75,9.69,-1.92,12.978754,101.445810
Package[3439],3:3:47:45,14.38,2.47,9.81,-1.92,12.978754,101.445810
Package[3441],3:3:47:46,14.31,2.55,9.73,-1.73,12.978754,101.445810
Package[3443],3:3:47:47,14.25,2.31,9.30,-2.20,12.978754,101.445810
Package[3445],3:3:47:49,14.25,2.59,9.81,-2.00,12.978754,101.445810
Package[3447],3:3:47:50,14.25,2.75,9.26,-1.92,12.978754,101.445810
Package[3449],3:3:47:51,14.25,2.63,9.61,-1.84,12.978754,101.445810
Package[3451],3:3:47:53,14.38,2.51,9.45,-1.92,12.978754,101.445810
Package[3453],3:3:47:54,14.31,2.35,9.49,-1.80,12.978779,101.445450
Package[3455],3:3:47:55,14.38,2.55,9.65,-1.49,12.978779,101.445450
Package[3457],3:3:47:57,14.38,2.63,9.61,-1.88,12.978796,101.445390
Package[3459],3:3:47:58,14.38,2.63,9.61,-1.92,12.978812,101.445330
Package[3461],3:3:48:0,14.38,2.59,9.65,-2.16,12.978812,101.445330
Package[3463],3:3:48:1,14.44,2.43,9.65,-2.00,12.978812,101.445330
Package[3465],3:3:48:2,14.38,2.55,9.49,-1.80,12.978812,101.445330
Package[3467],3:3:48:4,14.31,2.67,9.49,-2.28,12.978812,101.445330
Package[3469],3:3:48:5,14.31,2.63,9.18,-1.80,12.978812,101.445330
Package[3471],3:3:48:6,14.25,2.47,9.77,-2.00,12.978812,101.445330
Package[3473],3:3:48:8,14.25,2.43,9.49,-2.16,12.978812,101.445330
Package[3475],3:3:48:9,14.13,2.31,9.49,-2.08,12.978812,101.445330
Package[3477],3:3:48:10,14.06,2.63,9.81,-2.00,12.978812,101.445330
Package[3479],3:3:48:12,14.00,2.43,9.73,-2.04,12.978812,101.445330
Package[3481],3:3:48:13,13.94,2.82,9.53,-1.84,12.978930,101.445040
Package[3483],3:3:48:14,13.94,2.51,9.65,-2.00,12.978930,101.445040
Package[3485],3:3:48:16,13.88,2.94,9.22,-2.08,12.978930,101.444990
Package[3487],3:3:48:17,13.81,2.51,9.45,-2.28,12.978933,101.444950
Package[3489],3:3:48:19,13.69,2.94,9.53,-1.96,12.978933,101.444950
Package[3491],3:3:48:20,13.69,2.71,9.49,-2.12,12.978933,101.444950
Package[3493],3:3:48:21,13.69,2.94,9.41,-1.53,12.978933,101.444950
Package[3495],3:3:48:23,13.69,2.39,9.41,-1.92,12.978933,101.444950
Package[3497],3:3:48:24,13.56,2.55,9.73,-1.80,12.978933,101.444950
Package[3499],3:3:48:25,13.56,2.47,9.45,-1.77,12.978933,101.444950
Package[3501],3:3:48:27,13.50,2.24,9.57,-1.80,12.978910,101.444800
Package[3503],3:3:48:28,13.44,2.63,9.85,-2.00,12.978899,101.444780
Package[3505],3:3:48:30,13.38,2.35,9.96,-1.69,12.978887,101.444740
Package[3507],3:3:48:31,13.38,2.63,9.96,-1.84,12.978887,101.444740
Package[3509],3:3:48:32,13.44,2.55,9.45,-1.45,12.978887,101.444740
Package[3511],3:3:48:34,13.44,3.06,9.53,-1.33,12.978887,101.444740
Package[3513],3:3:48:35,13.44,2.63,9.65,-1.92,12.978887,101.444740
Package[3515],3:3:48:36,13.44,2.51,9.65,-2.20,12.978887,101.444740
Package[3517],3:3:48:38,13.50,2.47,9.49,-2.00,12.978887,101.444740
Package[3519],3:3:48:39,13.50,2.31,9.96,-1.96,12.978853,101.444550
Package[3521],3:3:48:40,13.50,2.71,9.61,-2.00,12.978853,101.444550
Package[3523],3:3:48:42,13.56,2.59,9.77,-1.88,12.978845,101.444490
Package[3525],3:3:48:43,13.63,2.51,9.69,-2.20,12.978845,101.444490
Package[3527],3:3:48:45,13.63,2.55,9.65,-1.84,12.978839,101.444440
Package[3529],3:3:48:46,13.69,2.47,9.49,-1.77,12.978839,101.444440
Package[3531],3:3:48:47,13.69,2.67,9.10,-1.84,12.978839,101.444440
Package[3533],3:3:48:49,13.69,2.24,9.61,-1.88,12.978832,101.444290
Package[3535],3:3:48:50,13.69,2.55,9.61,-2.16,12.978827,101.444240
Package[3537],3:3:48:52,13.63,2.63,9.57,-2.16,12.978813,101.444200
Package[3539],3:3:48:53,13.56,2.47,9.73,-1.61,12.978813,101.444200
Package[3541],3:3:48:54,13.56,2.75,9.65,-1.92,12.978813,101.444200
Package[3543],3:3:48:56,13.50,2.51,9.77,-1.84,12.978813,101.444200
Package[3545],3:3:48:57,13.44,2.39,9.53,-1.77,12.978813,101.444200
Package[3547],3:3:48:58,13.38,2.79,9.34,-1.69,12.978813,101.444200
Package[3549],3:3:49:0,13.31,2.43,9.69,-1.84,12.978813,101.444200
Package[3551],3:3:49:1,13.25,2.82,9.34,-2.00,12.978761,101.444030
Package[3553],3:3:49:3,13.19,2.51,9.57,-2.24,12.978750,101.443980
Package[3555],3:3:49:4,13.19,2.86,9.69,-2.04,12.978750,101.443980
Package[3557],3:3:49:5,13.06,2.71,9.30,-2.08,12.978750,101.443980
Package[3559],3:3:49:7,13.06,2.43,9.41,-1.84,12.978750,101.443980
Package[3561],3:3:49:8,13.00,2.47,9.69,-1.84,12.978750,101.443980
Package[3563],3:3:49:9,12.94,2.51,9.22,-2.24,12.978750,101.443980
Package[3565],3:3:49:11,13.00,2.51,9.65,-2.00,12.978750,101.443980
Package[3567],3:3:49:12,13.00,2.59,9.69,-1.69,12.978750,101.443980
Package[3569],3:3:49:13,13.00,2.55,9.92,-1.88,12.978750,101.443980
Package[3571],3:3:49:15,13.00,2.63,9.69,-2.00,12.978665,101.443730
Package[3573],3:3:49:16,13.06,2.35,9.53,-2.00,12.978665,101.443730
Package[3575],3:3:49:17,13.06,2.51,9.85,-1.37,12.978665,101.443730
Package[3577],3:3:49:19,13.13,2.39,9.49,-2.16,12.978610,101.443650
Package[3579],3:3:49:20,13.13,2.63,9.61,-1.92,12.978584,101.443610
Package[3581],3:3:49:22,13.06,3.02,9.53,-1.45,12.978584,101.443610
Package[3583],3:3:49:23,13.06,2.67,9.81,-1.77,12.978552,101.443590
Package[3585],3:3:49:24,13.00,2.79,9.38,-1.96,12.978519,101.443560
Package[3587],3:3:49:26,12.94,2.28,9.65,-1.77,12.978519,101.443560
Package[3589],3:3:49:27,12.88,2.75,9.65,-1.92,12.978519,101.443560
Package[3591],3:3:49:28,12.88,2.47,9.69,-2.08,12.978519,101.443560
