Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude,,,,,,,
Package[4083],3:3:55:3,5.88,2.86,9.34,-1.49,12.977731,101.43652,,,,,,,
Package[4085],3:3:55:5,5.88,2.39,9.65,-1.57,12.977731,101.43652,,,,,,,
Package[4087],3:3:55:6,5.81,2.63,9.53,-1.92,12.977731,101.43652,,,,,,,
Package[4089],3:3:55:7,5.94,2.67,9.45,-1.29,12.977731,101.43652,,,,,,,
Package[4091],3:3:55:9,5.88,2.35,9.57,-2,12.977731,101.43652,,,,,,,
Package[4093],3:3:55:10,5.94,2.71,9.57,-1.41,12.977731,101.43652,,,,,,,
Package[4095],3:3:55:11,5.94,2.55,9.49,-1.92,12.977731,101.43652,,,,,,,
Package[4097],3:3:55:13,5.88,2.75,9.45,-1.69,12.977731,101.43652,,,,,,,
Package[4099],3:3:55:14,5.81,2.51,9.38,-2,12.977483,101.43588,,,,,,,
Package[4101],3:3:55:15,5.69,2.51,9.57,-1.96,12.977483,101.43588,,,,,,,
Package[4103],3:3:55:17,5.63,2.63,9.45,-1.84,12.977483,101.43588,,,,,,,
Package[4105],3:3:55:18,5.63,2.24,9.34,-2.08,12.977376,101.43575,,,,,,,
Package[4107],3:3:55:20,5.5,2.63,9.57,-1.45,12.977376,101.43575,,,,,,,
Package[4109],3:3:55:21,5.5,2.43,9.65,-1.96,12.977376,101.43575,,,,,,,
Package[4111],3:3:55:22,5.38,2.59,9.53,-1.73,12.977376,101.43575,,,,,,,
Package[4113],3:3:55:24,5.25,2.47,9.53,-1.8,12.977376,101.43575,,,,,,,
Package[4115],3:3:55:25,5.19,2.43,9.65,-1.69,12.977376,101.43575,,,,,,,
Package[4117],3:3:55:26,5.13,2.59,9.53,-1.73,12.977376,101.43575,,,,,,,
Package[4119],3:3:55:28,5.06,2.55,9.61,-1.84,12.977376,101.43575,,,,,,,
Package[4121],3:3:55:29,5,2.71,9.61,-1.61,12.977376,101.43575,,,,,,,
Package[4123],3:3:55:30,4.88,2.55,9.34,-1.84,12.977376,101.43575,,,,,,,
Package[4125],3:3:55:32,4.88,2.59,9.65,-1.57,12.977056,101.43532,,,,,,,
Package[4127],3:3:55:33,4.81,2.59,9.53,-1.88,12.977056,101.43532,,,,,,,
Package[4129],3:3:55:35,4.69,2.51,9.69,-1.84,12.977005,101.43526,,,,,,,
Package[4131],3:3:55:36,4.69,2.59,9.53,-1.8,12.977005,101.43526,,,,,,,
Package[4133],3:3:55:37,4.63,2.51,9.34,-1.61,12.977005,101.43526,,,,,,,
Package[4135],3:3:55:39,4.5,2.75,9.49,-1.77,12.977005,101.43526,,,,,,,
Package[4137],3:3:55:40,4.5,2.47,9.45,-1.92,12.977005,101.43526,,,,,,,
Package[4139],3:3:55:41,4.56,2.55,9.69,-1.92,12.977005,101.43526,,,,,,,
Package[4141],3:3:55:43,4.5,2.55,9.65,-1.65,12.977005,101.43526,,,,,,,
Package[4143],3:3:55:44,4.56,2.79,9.69,-1.73,12.977005,101.43526,,,,,,,
Package[4145],3:3:55:45,4.63,2.94,9.57,-1.37,12.977005,101.43526,,,,,,,
Package[4147],3:3:55:47,4.56,2.55,9.77,-1.65,12.97681,101.43479,,,,,,,
Package[4149],3:3:55:48,4.56,2.51,9.14,-1.84,12.976755,101.43472,,,,,,,
Package[4151],3:3:55:50,4.5,2.51,9.73,-2.12,12.976755,101.43472,,,,,,,
Package[4153],3:3:55:51,4.44,2.31,9.38,-2.2,12.976693,101.43466,,,,,,,
Package[4155],3:3:55:52,4.38,2.59,9.3,-1.88,12.976693,101.43466,,,,,,,
Package[4157],3:3:55:54,4.31,2.47,9.81,-1.61,12.976693,101.43466,,,,,,,
Package[4159],3:3:55:55,4.31,2.75,9.49,-1.69,12.976693,101.43466,,,,,,,
Package[4163],3:3:55:58,4.06,2.51,9.53,-1.69,12.976693,101.43466,,,,,,,
Package[4165],3:3:55:59,4,2.51,9.65,-1.57,12.976456,101.43452,,,,,,,
Package[4167],3:3:56:0,4,2.59,9.49,-1.88,12.976456,101.43452,,,,,,,
Package[4169],3:3:56:2,3.88,2.67,9.57,-1.8,12.976418,101.43449,,,,,,,
Package[4171],3:3:56:3,3.88,2.63,9.65,-1.61,12.976379,101.43447,,,,,,,
Package[4173],3:3:56:5,3.81,2.71,9.69,-1.53,12.976379,101.43447,,,,,,,
Package[4175],3:3:56:6,3.88,2.59,9.49,-1.65,12.976379,101.43447,,,,,,,
Package[4177],3:3:56:7,3.81,2.47,9.61,-1.69,12.976379,101.43447,,,,,,,
Package[4179],3:3:56:9,3.81,2.55,9.85,-1.69,12.976379,101.43447,,,,,,,
Package[4181],3:3:56:10,3.81,2.67,9.53,-1.73,12.976379,101.43447,,,,,,,
Package[4183],3:3:56:11,3.81,2.59,9.45,-1.69,12.976379,101.43447,,,,,,,
Package[4185],3:3:56:13,3.81,2.63,9.77,-1.77,12.976379,101.43447,,,,,,,
Package[4187],3:3:56:14,3.81,2.67,9.45,-1.92,12.976206,101.43428,,,,,,,
Package[4189],3:3:56:15,3.81,2.55,9.69,-1.84,12.976206,101.43428,,,,,,,
